student_track_id,student_id,track_name,date_enrolled,track_completed,days_for_completion,completion_bucket
1,6,Data Scientist,2022-09-16,0,NULL,Not Completed
2,6,Business Analyst,2022-09-16,0,NULL,Not Completed
3,20,Data Analyst,2022-02-25,0,NULL,Not Completed
4,31,Data Analyst,2022-04-02,0,NULL,Not Completed
5,209,Data Scientist,2022-01-28,0,NULL,Not Completed
6,209,Business Analyst,2022-06-02,0,NULL,Not Completed
7,221,Data Analyst,2022-02-13,0,NULL,Not Completed
8,326,Data Analyst,2022-03-29,0,NULL,Not Completed
9,353,Data Analyst,2022-07-07,0,NULL,Not Completed
10,454,Data Analyst,2022-02-03,0,NULL,Not Completed
11,492,Data Scientist,2022-03-06,0,NULL,Not Completed
12,616,Data Analyst,2022-04-03,0,NULL,Not Completed
13,702,Data Scientist,2022-05-21,0,NULL,Not Completed
14,704,Data Scientist,2022-08-11,0,NULL,Not Completed
15,768,Business Analyst,2022-07-20,0,NULL,Not Completed
16,801,Data Scientist,2022-01-16,0,NULL,Not Completed
17,801,Data Analyst,2022-01-17,0,NULL,Not Completed
18,801,Business Analyst,2022-01-17,0,NULL,Not Completed
19,813,Data Analyst,2022-01-20,0,NULL,Not Completed
20,816,Data Analyst,2022-01-04,0,NULL,Not Completed
21,872,Data Analyst,2022-09-27,0,NULL,Not Completed
22,893,Data Scientist,2022-07-20,0,NULL,Not Completed
23,897,Data Scientist,2022-08-19,0,NULL,Not Completed
24,911,Data Analyst,2022-03-22,0,NULL,Not Completed
25,1019,Data Scientist,2022-03-27,0,NULL,Not Completed
26,1019,Data Analyst,2022-03-05,0,NULL,Not Completed
27,1019,Business Analyst,2022-05-11,0,NULL,Not Completed
28,1035,Business Analyst,2022-01-10,0,NULL,Not Completed
29,1099,Data Analyst,2022-01-27,0,NULL,Not Completed
30,1102,Data Scientist,2022-01-16,0,NULL,Not Completed
31,1102,Data Analyst,2022-01-16,0,NULL,Not Completed
32,1102,Business Analyst,2022-01-16,0,NULL,Not Completed
33,1159,Data Analyst,2022-06-01,0,NULL,Not Completed
34,1173,Business Analyst,2022-09-11,0,NULL,Not Completed
35,1221,Data Scientist,2022-03-23,0,NULL,Not Completed
36,1235,Data Scientist,2022-03-15,0,NULL,Not Completed
37,1246,Data Analyst,2022-05-16,0,NULL,Not Completed
38,1270,Data Analyst,2022-09-12,0,NULL,Not Completed
39,1289,Data Analyst,2022-07-12,0,NULL,Not Completed
40,1306,Data Analyst,2022-10-09,0,NULL,Not Completed
41,1314,Data Analyst,2022-06-24,0,NULL,Not Completed
42,1362,Data Scientist,2022-10-16,0,NULL,Not Completed
43,1363,Business Analyst,2022-04-16,0,NULL,Not Completed
44,1370,Data Scientist,2022-08-15,0,NULL,Not Completed
45,1411,Data Scientist,2022-02-14,0,NULL,Not Completed
46,1468,Data Scientist,2022-09-14,0,NULL,Not Completed
47,1486,Data Scientist,2022-02-06,0,NULL,Not Completed
48,1486,Data Analyst,2022-09-04,0,NULL,Not Completed
